,CostCenter,1/1/2018,2/1/2018,3/1/2018,4/1/2018,5/1/2018,6/1/2018,7/1/2018,8/1/2018,9/1/2018,10/1/2018,11/1/2018,12/1/2018,1/1/2019,2/1/2019,3/1/2019,4/1/2019,5/1/2019,6/1/2019,7/1/2019,8/1/2019,1/1/2020,2/1/2020,3/1/2020,4/1/2020,5/1/2020,6/1/2020
0,360,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1,239,1.0,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
2,518,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,84,,,,,,,,,,,,,6.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0,6.0,6.0,6.0,6.0,6.0
4,537,,,,,,,,,,,,,,1.0,3.0,9.0,9.0,9.0,9.0,9.0,19.0,19.0,19.0,19.0,19.0,19.0
5,120,,,,,,,,,,,,,,,,,,,,,,,,,,
6,90,,,,,,,,,,,,,,,,,,,,,,,,,,
7,652,,,,,,,,,,,,,,,,,,,,,,,,,,
8,493,,,,,,,,,,,,,,,,,,,,,,,,,,
9,654,,,,,,,,,,,,,,,,,,,,,,,,,,
10,495,,,,,,,,,,,,,,,,,,,,,,,,,,
11,101,,,,,,,,,,,,,,,,,,,,,,,,,,
12,533,,,,,,,,,,,,,,,,,,,,,,,,,,
13,330,,,,,,,,,,,,,,,,,,,,,,,,,,
14,116,,,,,,,,,,,,,,,,,,,,,,,,,,
15,177,,,,,,,,,,,,,,,,,,,,,,,,,,
16,186,,,,,,,,,,,,,,,,,,,,,,,,,,
17,543,,,,,,,,,,,,,,,,,,,,,,,,,,
18,259,,,,,,,,,,,,,,,,,,,,,,,,,,
19,374,,,,,,,,,,,,,,,,,,,,,,,,,,
20,28,,,,,,,,,,,,,,,,,,,,,,,,,,
21,473,,,,,,,,,,,,,,,,,,,,,,,,,,
22,499,,,,,,,,,,,,,,,,,,,,,8.0,8.0,8.0,8.0,8.0,8.0
23,183,,,,,,,,,,,,,,,,,,,,,,,,,,
24,141,,,,,,,,,,,,,,,,,,,,,,,,,,
25,76,,,,,,,,,,,,,,,,,,,,,,,,,,
26,162,,,,,,,,,,,,,,,,,,,,,,,,,,
27,170,,,,,,,,,,,,,,,,,,,,,,,,,,
28,176,,,,,,,,,,,,,,,,,,,,,,,,,,
29,185,,,,,,,,,,,,,,,,,,,,,,,,,,
30,197,,,,,,,,,,,,,,,,,,,,,,,,,,
31,212,,,,,,,,,,,,,,,,,,,,,,,,,,
32,216,,,,,,,,,,,,,,,,,,,,,,,,,,
33,297,,,,,,,,,,,,,,,,,,,,,,,,,,
34,301,,,,,,,,,,,,,,,,,,,,,,,,,,
35,304,,,,,,,,,,,,,,,,,,,,,,,,,,
36,373,,,,,,,,,,,,,,,,,,,,,,,,,,
37,442,,,,,,,,,,,,,,,,,,,,,,,,,,
38,457,,,,,,,,,,,,,,,,,,,,,,,,,,
39,460,,,,,,,,,,,,,,,,,,,,,,,,,,
40,462,,,,,,,,,,,,,,,,,,,,,,,,,,
41,466,,,,,,,,,,,,,,,,,,,,,,,,,,
42,467,,,,,,,,,,,,,,,,,,,,,,,,,,
43,471,,,,,,,,,,,,,,,,,,,,,,,,,,
44,472,,,,,,,,,,,,,,,,,,,,,,,,,,
45,478,,,,,,,,,,,,,,,,,,,,,,,,,,
46,479,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,3.0,3.0
47,480,,,,,,,,,,,,,,,,,,,,,,,,,,
48,482,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
49,487,,,,,,,,,,,,,,,,,,,,,,,,,,
50,50,,,,,,,,,,,,,,,,,,,,,,,,,,
51,505,,,,,,,,,,,,,,,,,,,,,,,,,,
52,517,,,,,,,,,,,,,,,,,,,,,,,,,,
53,535,,,,,,,,,,,,,,,,,,,,,6.0,6.0,6.0,6.0,6.0,6.0
54,575,,,,,,,,,,,,,,,,,,,,,,,,,,
55,589,,,,,,,,,,,,,,,,,,,,,,,,,,
56,593,,,,,,,,,,,,,,,,,,,,,,,,,,
57,595,,,,,,,,,,,,,,,,,,,,,,,,,,
58,597,,,,,,,,,,,,,,,,,,,,,,,,,,
59,609,,,,,,,,,,,,,,,,,,,,,,,,,,
60,628,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
61,638,,,,,,,,,,,,,,,,,,,,,,,,,,
62,71,,,,,,,,,,,,,,,,,,,,,,,,,,
63,92,,,,,,,,,,,,,,,,,,,,,,,,,,
64,94,,,,,,,,,,,,,,,,,,,,,,,,,,
65,581,,,,,,,,,,,,,,,,,,,,,,,,,,
66,585,,,,,,,,,,,,,,,,,,,,,,,,,,
67,27,,,,,,,,,,,,,,,,,,,,,,,,,,
68,577,,,,,,,,,,,,,,,,,,,,,,,,,,
69,607,,,,,,,,,,,,,,,,,,,,,,,,,,
70,192,,,,,,,,,,,,,,,,,,,,,,,,,,
71,338,,,,,,,,,,,,,,,,,,,,,,,,,,
72,564,,,,,,,,,,,,,,,,,,,,,,,,,,
73,587,,,,,,,,,,,,,,,,,,,,,,,,,,
74,133,,,,,,,,,,,,,,,,,,,,,,,,,,
75,458,,,,,,,,,,,,,,,,,,,,,,,,,,
76,601,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
77,488,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
78,616,,,,,,,,,,,,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,
79,661,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
80,640,,,,,,,,,,,,,,,,,,,,,,,,,,
81,368,,,,,,,,,,,,,,,,,,,,,,,,,,
82,83,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0
83,528,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,44.0,44.0,44.0,44.0,44.0,44.0,,,,,,
84,452,,,,,,,,,,,,,,,,,,,,,,,,,,
85,468,,,,,,,,,,,,,3.0,3.0,3.0,3.0,3.0,,,,,,,,,
86,475,,,,,,,,,,,,,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,
87,477,,,,,,,,,,,,,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,,,,,,
88,483,,,,,,,,,,,,,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,,,,,,
89,489,,,,,,,,,,,,,2.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,,,,,,
90,509,,,,,,,,,,,,,2.0,2.0,3.0,3.0,3.0,4.0,3.0,,3.0,3.0,3.0,3.0,3.0,3.0
91,603,,,,,,,,,,,,,2.0,1.0,6.0,2.0,3.0,1.0,2.0,,,,,,,
92,416,2.0,1.0,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,
93,629,3.0,3.0,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,
94,146,,,,,,,,,,,,,3.0,3.0,3.0,,,,,,2.0,2.0,2.0,2.0,2.0,2.0
95,339,,,,,,,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0
96,341,,,,,,,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,
97,614,,,,,,,,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,
98,8,,,,,,,,,,,,,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,,,,,,
99,438,,,,,,,,,,,,,4.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0
100,272,,,,,,,,,,,,,6.0,6.0,5.0,8.0,5.0,5.0,6.0,5.0,,,,,,
101,470,,,,,,,,,,,,,6.0,6.0,6.0,6.0,3.0,3.0,3.0,3.0,,,,,,
102,440,,,,,,,,,,,,,6.0,6.0,6.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
103,644,,,,,,,,,,,,,6.0,4.0,4.0,4.0,4.0,6.0,4.0,4.0,,,,,,
104,147,,,,,,,,,,,,,7.0,8.0,8.0,8.0,9.0,8.0,8.0,,6.0,6.0,6.0,6.0,6.0,6.0
105,275,,,,,,,,,,,,,7.0,5.0,6.0,5.0,6.0,6.0,6.0,,5.0,5.0,5.0,5.0,5.0,5.0
106,620,,,,,,,,,,,,,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,,,,,,
107,184,,,,,,,,,,,,,11.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,,,,,,
108,523,,,,,,,,,,,,,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
109,618,,,,,,,,,,,,,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,,,,,,
110,125,,,,,,,,,,,,,8.0,8.0,8.0,2.0,2.0,,,,8.0,8.0,8.0,8.0,8.0,8.0
111,437,,,,,,,,,,,,,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,18.0,18.0,18.0,18.0,18.0,18.0
112,148,,,,,,,,,,,,,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,8.0,8.0,8.0,9.0,9.0,9.0
113,295,,,,,,,,,,,,,9.0,8.0,8.0,8.0,8.0,8.0,8.0,,7.0,7.0,7.0,7.0,7.0,7.0
114,541,,,,,,,,,,,,,3.0,3.0,3.0,,,,,,,,,,,
115,6,,,,,,,,,,,,,3.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,,,,,,
116,182,,,,,,,,,,,,,9.0,9.0,9.0,9.0,11.0,11.0,11.0,,9.0,9.0,9.0,9.0,9.0,9.0
117,288,,,,,,,,,,,,,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,,,,,,
118,441,,,,,,,,,,,,,12.0,12.0,13.0,13.0,12.0,13.0,13.0,12.0,9.0,9.0,9.0,9.0,9.0,9.0
119,81,,,,,,,,,,,,,14.0,14.0,14.0,14.0,14.0,13.0,13.0,,1.0,1.0,1.0,1.0,1.0,1.0
120,461,,,,,,,,,,,,,13.0,15.0,16.0,18.0,16.0,15.0,15.0,16.0,,,,,,
121,539,,,,,,,,,,,,,13.0,13.0,13.0,13.0,7.0,7.0,7.0,7.0,22.0,22.0,22.0,22.0,22.0,22.0
122,439,,,,,,,,,,,,,17.0,17.0,17.0,17.0,17.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
123,240,,,,,,,,,,,,,14.0,18.0,16.0,17.0,16.0,17.0,17.0,17.0,,,,,,
124,622,,,,,,,,,,,,,14.0,11.0,11.0,11.0,14.0,11.0,13.0,1.0,,,,,1.0,1.0
125,672,,,,,,,,,,,,,14.0,17.0,17.0,17.0,18.0,2.0,17.0,17.0,,,,,,
126,114,,,,,,,,,,,,,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,13.0,13.0,13.0,13.0,13.0,13.0
127,391,,,,,,,,,,,,,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,13.0,13.0,13.0,14.0,14.0,14.0
128,349,,,,,,,,,,,,,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,15.0,15.0,15.0,15.0,15.0,15.0
129,423,,,,,,,,,,,,,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,17.0,16.0
130,474,,1.0,1.0,,,,,,,,,,16.0,2.0,26.0,24.0,28.0,17.0,16.0,15.0,,,,,,
131,545,,,,,,,,,,,,,17.0,17.0,17.0,17.0,22.0,22.0,21.0,21.0,1.0,1.0,1.0,1.0,1.0,1.0
132,596,,,,,,,,,,,,,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
133,426,,,,,,,,,,,,,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,15.0,15.0,15.0,15.0,15.0,15.0
134,583,,,,,,,,,,,,,,,,,,,,,,,,,,
135,605,1.0,,,,,,,,,,,,23.0,29.0,3.0,32.0,31.0,31.0,32.0,32.0,,,,,,
136,235,,,,,,,,,,,,,24.0,28.0,3.0,3.0,38.0,27.0,12.0,,24.0,24.0,24.0,24.0,24.0,24.0
137,156,,,,,,,,,,,,,25.0,3.0,28.0,3.0,32.0,32.0,3.0,,25.0,25.0,25.0,25.0,25.0,25.0
138,636,,,,,,,,,,,,,28.0,34.0,36.0,36.0,38.0,38.0,4.0,4.0,,,,,,
139,256,,,,,,,,,,,,,29.0,34.0,35.0,35.0,35.0,33.0,37.0,36.0,,,,,,
140,519,,,,,,,,,,,,,3.0,4.0,32.0,4.0,45.0,41.0,45.0,46.0,35.0,34.0,34.0,33.0,41.0,37.0
141,5,,,,,,,,,,,,,3.0,34.0,35.0,33.0,37.0,34.0,35.0,,,,,,,
142,163,,,,,,,,,,,,,31.0,32.0,32.0,32.0,34.0,33.0,33.0,,27.0,27.0,27.0,28.0,28.0,28.0
143,634,,,,,,,,,,,,,32.0,38.0,39.0,34.0,32.0,37.0,35.0,32.0,,,,,,
144,3,,,,,,,,,,,,,32.0,37.0,38.0,47.0,4.0,42.0,41.0,,,,,,,
145,164,,,,,,,,,,,,,33.0,38.0,4.0,37.0,39.0,38.0,37.0,,3.0,3.0,3.0,31.0,31.0,31.0
146,436,,,,,,,,,,,,,33.0,38.0,37.0,38.0,4.0,38.0,39.0,37.0,3.0,3.0,3.0,3.0,34.0,3.0
147,613,,,,,,,,,,,,,34.0,35.0,38.0,46.0,47.0,42.0,41.0,41.0,,,,,,
148,7,,,,,,,,,,,,,35.0,4.0,42.0,4.0,44.0,42.0,43.0,3.0,,,,,,
149,506,,,,,,,,,,,,,37.0,44.0,43.0,46.0,49.0,47.0,47.0,46.0,,,,,,
150,320,,,,,,,,,,,,,38.0,5.0,44.0,44.0,49.0,46.0,46.0,45.0,,,,,,
151,485,,,,,,,,,,,,,4.0,49.0,48.0,47.0,51.0,52.0,5.0,47.0,,,,,,
152,476,,,,,,,,,,,,,42.0,45.0,45.0,99.0,17.0,95.0,89.0,91.0,,,,,,
153,611,,,,,,,,,,,,,42.0,51.0,52.0,51.0,57.0,55.0,49.0,57.0,,,,,,
154,599,,,,,,,,,,,,,44.0,45.0,7.0,52.0,47.0,53.0,54.0,55.0,,,,,,
155,503,5.0,4.0,4.0,1.0,,,,,,,,,49.0,52.0,44.0,46.0,52.0,41.0,38.0,39.0,,,,,,
156,504,1.0,1.0,1.0,,,,,,,,,,5.0,57.0,6.0,6.0,6.0,57.0,59.0,53.0,,,,,,
157,208,,,,,,,,,,,,,52.0,62.0,74.0,63.0,75.0,67.0,61.0,61.0,,,,,,
158,336,,,,,,,,,,,,,57.0,64.0,66.0,64.0,75.0,66.0,61.0,59.0,,,,,,
159,632,,,,,,,,,,,,,59.0,71.0,73.0,74.0,13.0,74.0,77.0,83.0,,,,,,
160,427,,,,,,,,,,,,,66.0,7.0,73.0,68.0,74.0,78.0,69.0,59.0,,,,,,
161,630,,,,,,,,,,,,,73.0,84.0,88.0,17.0,113.0,9.0,88.0,9.0,,,,,,
162,117,,,,,,,,,,,,,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,87.0,87.0,87.0,88.0,89.0,89.0
163,113,,,,,,,,,,,,,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,13.0,13.0,13.0,132.0,132.0,132.0
164,131,,,,,,,,,,,,,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,16.0,16.0,16.0,18.0,18.0,18.0
165,118,,,,,,,,,,,,,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,15.0,15.0,15.0,153.0,154.0,153.0
166,371,,,,,,,,,,,,,,,,,,,,,,,,,,
167,409,2.0,2.0,2.0,2.0,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,
168,624,,,1.0,,,,,,,,1.0,2.0,17.0,23.0,22.0,22.0,22.0,23.0,22.0,23.0,2.0,3.0,3.0,4.0,4.0,5.0
169,591,,,,,,2.0,,,,,3.0,3.0,,,,,,,,,3.0,3.0,3.0,3.0,4.0,6.0
170,459,,,1.0,,,,,,,,5.0,,,,1.0,,,1.0,,,,,,,,
171,626,,,,,,,,,,,7.0,7.0,18.0,27.0,2.0,28.0,37.0,32.0,37.0,43.0,6.0,6.0,6.0,7.0,7.0,7.0
172,481,,,,,,,,,,,11.0,11.0,,,,,,,,,9.0,9.0,1.0,1.0,11.0,11.0
173,260,,,,,,,,,,12.0,12.0,12.0,,,,,,,,,,,,,,
174,530,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
175,98,,9.0,,,,,,,9.0,,,,,9.0,,,,,,,,2.0,,,,
176,386,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,2.0,2.0,2.0,2.0,,1.0,5.0,,,2.0
177,670,,,,,,,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,
178,550,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
179,189,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
180,298,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
181,191,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
182,406,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
183,553,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,,,,,,
184,617,3.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0
185,237,4.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0
186,502,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,,,,,,
187,381,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,14.0,14.0,14.0,14.0,14.0,15.0
188,412,4.0,3.0,3.0,5.0,3.0,5.0,3.0,1.0,4.0,5.0,3.0,8.0,4.0,3.0,3.0,4.0,3.0,4.0,2.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0
189,372,1.0,,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,,1.0,,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
190,598,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
191,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
192,413,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,3.0
193,367,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
194,578,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0
195,538,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
196,157,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,1.0,1.0,,,
197,30,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
198,490,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,13.0,15.0,16.0,14.0,11.0,12.0,13.0,,1.0,1.0,1.0,1.0,1.0,1.0
199,396,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,34.0,45.0,4.0,43.0,43.0,41.0,41.0,2.0,34.0,33.0,33.0,34.0,34.0,34.0
200,443,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,39.0,45.0,46.0,46.0,55.0,47.0,48.0,46.0,44.0,44.0,45.0,45.0,46.0,46.0
201,18,4.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,4.0,3.0,4.0,4.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0
